0	-442	-5.1454
20	-442	-3.14098
40	-442	-1.33654
60	-442	-0.0222537
80	-442	-0.696224
100	-442	-0.785351
120	-442	-0.445328
140	-442	-1.24139
160	-442	-0.559207
180	-442	-1.05203
200	-442	-1.30914
220	-442	-1.74075
240	-442	-1.22098
260	-442	-0.946727
280	-442	-0.866117
300	-442	-0.759518
319.927	-441.319	-1.485747205
339.761	-439.28	-1.836239921
359.409	-435.893	-1.489381629
378.781	-431.172	-1.366564718
397.785	-425.14	-1.278528111
416.333	-417.826	-1.230744663
434.339	-409.262	-1.169149312
451.719	-399.49	-1.279769308
468.391	-388.555	-1.404982579
484.278	-376.508	-1.509003532
499.306	-363.404	-1.557630374
513.404	-349.306	-1.547565513
526.508	-334.278	-1.452095869
538.555	-318.391	-1.002857799
549.49	-301.719	-0.713912657
559.262	-284.339	-0.659153723
567.826	-266.333	-0.991839725
575.14	-247.785	-2.225954907
581.172	-228.781	-2.120070158
585.893	-209.409	0.581052594
589.28	-189.761	0.155950368
591.319	-169.927	-0.685127777
592	-150	-1.79869
592	-131.25	-2.32176
592	-112.5	-2.12706
592	-93.75	-1.47583
592	-75	-1.40589
592	-56.25	-0.684066
592	-37.5	-2.05358
592	-18.75	-2.81579
592	0	-2.8919
592	18.75	-2.71502
592	37.5	-0.974825
592	56.25	-0.360437
592	75	-1.78679
592	93.75	-1.6291
592	112.5	-2.27475
592	131.25	-2.37733
592	150	-1.79123
591.319	169.927	-0.776435848
589.28	189.761	0.043894912
585.893	209.409	0.455480464
581.172	228.781	-2.272406025
575.14	247.785	-2.349007246
567.826	266.333	-1.130846436
559.262	284.339	-0.743471561
549.49	301.719	-0.778682042
538.555	318.391	-1.125417682
526.508	334.278	-1.530288667
513.404	349.306	-1.576437293
499.306	363.404	-1.569411534
484.278	376.508	-1.47961512
468.391	388.555	-1.423739405
451.719	399.49	-1.305460262
434.339	409.262	-1.180310987
416.333	417.826	-1.242970027
397.785	425.14	-1.286209995
378.781	431.172	-1.366251825
359.409	435.893	-1.478374437
339.761	439.28	-1.87047766
319.927	441.319	-1.514396574
300	442	-0.762051
280	442	-0.850488
260	442	-0.916116
240	442	-1.16563
220	442	-1.70612
200	442	-1.31437
180	442	-1.04577
160	442	-0.526431
140	442	-1.21844
120	442	-0.400299
100	442	-0.746669
80	442	-0.72548
60	442	-0.010604
40	442	-1.31651
20	442	-3.15308
0	442	-5.22233
