0	223	-4.28445
20	223	-0.820266
40	223	-1.71389
60	223	-5.79371
80	223	-0.261573
100	223	-0.80361
120	223	-1.22617
140	223	-0.82155
160	223	-0.33295
180	223	-1.972
200	223	-8.2702
220	223	-6.52539
240	223	-1.33516
260	223	-0.0778089
280	223	-3.56216
300	223	-3.791329106
318.9	220.5	-6.188725543
336.5	213.2	-1.892568729
351.6	201.6	-3.008000369
363.2	186.5	-0.86653681
370.5	168.9	-0.119272727
373	150	0.948232
373	131.3	-3.1425
373	112.5	-1.12258
373	93.8	-7.94947
373	75	-1.47879
373	56.3	-3.39033
373	37.5	-3.86989
373	18.8	-2.18386
373	0	-4.20338
373	-18.8	0.0449767
373	-37.5	0.34817
373	-56.3	-3.81447
373	-75	-4.18466
373	-93.8	-7.87619
373	-112.5	0.170313
373	-131.3	-2.75393
373	-150	0.537676
370.5	-168.9	0.204817593
363.2	-186.5	0.733133099
351.6	-201.6	0.819612048
336.5	-213.2	-2.646835281
318.9	-220.5	-4.486080599
300	-223	-0.1257
280	-223	-2.00964
260	-223	-0.685416
240	-223	-1.44766
220	-223	-7.8531
200	-223	-6.47351
180	-223	-0.104459
160	-223	-2.6486
140	-223	-1.88217
120	-223	-1.14334
100	-223	-0.88957
80	-223	-0.622003
60	-223	-4.52751
40	-223	-1.37923
20	-223	-1.56626
0	-223	-5.19125
