0.0;0.000;0.000;0.000;-0.003;0.003;0.000;0.003
2.0;-0.019;0.025;0.022;-0.025;-0.003;-0.001;-0.041
4.0;-0.038;0.062;0.025;-0.047;-0.022;-0.002;-0.072
6.0;-0.053;0.091;0.037;-0.066;-0.041;-0.005;-0.106
8.0;-0.063;0.103;0.050;-0.081;-0.056;-0.007;-0.125
20.0;-0.075;0.106;0.084;-0.103;-0.075;-0.010;-0.194
40.0;-0.153;0.309;-0.256;-0.191;-0.153;-0.050;-0.294
60.0;-0.272;0.472;-0.094;-0.191;-2.116;-0.070;-0.613
80.0;-0.416;0.634;0.072;-0.369;-2.284;-0.110;-0.938
100.0;-0.631;0.828;0.244;-0.569;-2.469;-0.160;-1.369
120.0;-0.850;1.022;0.428;-0.772;-2.653;-0.190;-1.841
140.0;-1.088;1.231;0.622;-0.991;-2.853;-0.210;-2.331
160.0;-1.363;1.450;0.847;-1.231;-3.072;-0.240;-2.925
180.0;-1.575;1.622;1.050;-1.444;-3.275;-0.240;-3.450
190.0;-1.847;1.859;1.275;-1.709;-3.531;-0.250;-4.072
200.0;-2.103;2.078;1.503;-1.972;-3.797;-0.260;-4.741
220.0;-2.463;2.319;1.772;-2.297;-4.134;-0.270;-5.431
240.0;-2.697;2.538;2.050;-2.638;-4.494;-0.290;-6.150
260.0;-2.959;2.756;2.291;-2.938;-4.794;-0.290;-6.816
280.0;-3.259;3.100;2.606;-3.328;-5.191;-0.310;-7.684
300.0;-3.984;3.675;3.341;-4.150;-5.966;-0.320;-10.566
320.0;-4.025;3.700;3.372;-4.191;-6.003;-0.330;-10.656
340.0;-4.038;3.600;3.244;-4.081;-5.906;-0.340;-9.853
360.0;-4.119;3.700;3.347;-4.209;-6.025;-0.360;-10.044
380.0;-4.381;3.881;3.563;-4.456;-6.266;-0.370;-10.425
400.0;-4.563;4.059;3.781;-4.722;-6.522;-0.380;-10.713
412.0;-4.816;4.303;4.091;-5.050;-6.844;-0.390;-11.297
